Kenpom Rank,Seed,Kenpom Seed,Team,Record,Adj-O,Adj-O Rank,Adj-D,Adj-D Rank,Adj-T,Adj-T Rank,Luck,Luck Rank,SOS,SOS Rank,OppO,OppO Rank,OppD,OppD Rank,Non-Con SOS,Non-Con SOS Rank
1,1,1,Virginia,29-3,123.6,2,87.9,5,59.3,353,0.024,119,10.51,29,108.4,48,97.9,19,-2.82,248
2,1,1,Gonzaga,30-3,125.1,1,92.3,16,69.8,70,0.008,160,3.38,83,106.2,76,102.8,102,1.98,109
3,1,1,Duke,29-5,120.1,6,88.1,6,72.2,18,0.018,137,13.25,7,110.4,4,97.2,11,5.48,38
4,2,1,Michigan State,28-6,121.7,4,90.4,8,67.4,182,-0.007,198,13.57,3,110.2,7,96.7,2,3.15,90
5,2,2,Michigan,28-6,115.5,18,86.1,2,64.4,320,-0.014,227,11.65,17,109.3,29,97.6,16,-4.94,305
6,1,2,UNC,27-6,119.9,7,90.7,10,74.3,5,0.024,117,13.68,2,110.8,2,97.1,8,5.77,33
7,2,2,Kentucky,27-6,118.2,13,90.8,12,65.8,265,0.037,89,11.02,22,110,11,99,37,2.26,102
8,2,2,Tennessee,29-5,122.5,3,95.5,34,67.7,155,0.038,87,10.58,27,109,32,98.5,23,1.36,124
9,3,3,Texas Tech,26-6,112.7,36,85.9,1,66.5,226,0.004,175,8.31,53,107.8,58,99.5,45,-5.02,307
10,3,3,Purdue,23-9,121.1,5,95,32,65.6,276,-0.012,220,13.04,8,109.7,19,96.7,3,4.33,58
11,4,3,Virginia Tech,24-8,118.4,11,94,25,63.3,337,0.002,181,8.61,50,108.1,51,99.5,44,-6.04,326
12,5,3,Wisconsin,23-10,110.8,52,87.1,3,63.6,332,-0.026,247,13.57,4,110.3,6,96.8,5,3.56,82
13,5,4,Auburn,26-9,119.6,8,96.2,45,67.5,166,0.003,180,10.89,25,109.6,21,98.7,30,2.81,96
14,4,4,Florida State,27-7,113,31,90.4,9,68.3,135,0.045,75,10.71,26,109.5,23,98.8,32,1.1,133
15,3,4,Houston,31-3,114.1,24,91.7,13,66.1,247,0.057,50,3.15,88,104.8,124,101.6,66,-3.81,276
16,6,4,Iowa State,23-11,119,9,97.1,59,67.6,161,-0.051,295,10.36,31,108.8,38,98.5,22,-1.45,210
17,7,5,Louisville,20-13,113.4,29,92.4,17,67.1,194,-0.054,301,13,10,110.6,3,97.6,15,6.05,28
18,3,5,LSU,26-6,118.5,10,97.5,62,69.9,66,0.035,93,9.49,40,108.6,41,99.1,38,3.09,93
19,7,5,Wofford,29-4,118.4,12,97.6,63,65.6,275,0.06,43,1.36,112,105.4,96,104,155,8.4,7
20,4,5,Kansas,25-9,112.7,34,92,15,69.9,64,0.088,15,13.89,1,111.4,1,97.5,13,10.99,3
21,5,6,Mississippi State,23-10,117.4,14,96.7,51,67.4,178,-0.027,248,10.46,30,110,12,99.6,46,2.49,99
22,6,6,Buffalo,31-3,114.9,19,94.6,29,73.8,9,0.041,77,2.8,93,105.2,112,102.4,91,1.58,117
23,4,6,Kansas State,25-8,108,102,87.7,4,63,342,0.061,42,10.05,33,109,33,99,35,-0.5,183
24,6,6,Maryland,22-10,113.8,27,93.8,22,65.6,274,0.001,182,11.08,21,109.5,24,98.4,21,-4.62,298
